Point ID,_0,_1,_2,_Magnitude,f_26
1751,0.485075,0.157006,0,0.509851,0.005663846712556311
1752,1.04844,0,0,1.04844,-0.0012248035145376469
1753,2.00098,0.197206,0,2.01067,0.0002574649761757118
1754,0.794377,0.203416,0,0.820008,-0.003045577069884702
1755,1.85898,0.147799,0,1.86484,-0.00039305917899276665
1756,1.63281,0,0,1.63281,0.0003261032694681725
1757,0.699958,0.326271,0,0.772265,-0.008392244334103592
1758,1.08587,0.336451,0,1.1368,0.003331380780642312
1759,0.429688,0.41,0,0.593912,-0.0041123940386370555
1760,0.840274,0.147571,0,0.853134,0.003968512026663421
1761,1.15775,0.305893,0,1.19748,0.0007456615047824427
1762,1.21628,0.256303,0,1.24299,-0.000700103966168346
1763,0.0141353,0.0376781,0,0.0402424,0.00844449194570319
1764,0.0178422,0.0190157,0,0.0260757,0.003136597922382664
1765,0.745152,0.294342,0,0.80118,0.0004881458133216282
1766,1.81636,0.0597749,0,1.81734,0.0006869275851801031
1767,0.730665,0.346652,0,0.808727,0.0009727070845870262
1768,0.75552,0.352003,0,0.833497,0.0009773973757064994
1769,0.742351,0.317086,0,0.807235,0.006828328416374319
1770,0.288726,0.0737691,0,0.298001,0.002583739801007745
1771,1.04045,0.221301,0,1.06372,-0.0008373496091991545
1772,1.76581,0.0639031,0,1.76696,0.0003475452006970522
1773,0.967345,0.281091,0,1.00736,0.0032094470848492004
1774,0.0138268,0.24281,0,0.243204,0.010537028810171928
1775,1.7857,0.342463,0,1.81825,0.0004576363133409027
1776,1.77287,0.310879,0,1.79992,-0.0006285502686767749
1777,0.413299,0.358805,0,0.547318,0.004066401281707663
1778,0.421094,0.393552,0,0.57637,0.00303005661812131
1779,0.842188,0,0,0.842188,0.008318333922436243
1780,1.06516,0.239108,0,1.09166,0.0028781122766157537
1781,1.6022,0.271913,0,1.62511,-0.0006343741776031536
1782,0.110402,0.362674,0,0.379105,-0.002377196598712626
1783,0.207484,0.0388151,0,0.211083,-0.0051592905182944295
1784,0.0987188,0.14246,0,0.173321,0.00467673735130948
1785,1.70156,0,0,1.70156,0.001253293531845305
1786,0.894885,0.0778871,0,0.898268,-0.00569099808303504
1787,2.08465,0.185473,0,2.09288,2.2142169600300423e-05
1788,2.1049,0.273561,0,2.1226,-6.687834005394044e-05
1789,2.12665,0.282758,0,2.14537,-0.00012929943253437028
1790,2.18151,0.101248,0,2.18386,1.4304235076110964e-05
1791,2.10263,0.11201,0,2.10561,-0.000525011450021601
1792,2.14817,0.085059,0,2.14985,0.000134933762983866
1793,2.13206,0.11803,0,2.13533,-0.00030193732764752647
1794,1.36603,0.0175991,0,1.36614,0.0017529889401040534
1795,1.47946,0.128932,0,1.48507,0.0010622387010068264
1796,0.298532,0.0906411,0,0.311989,-0.003100245618765518
1797,1.132,0.0191015,0,1.13216,0.005078931106424819
1798,0.568439,0.0942188,0,0.576194,0.004576707611647331
1799,0.257812,0,0,0.257812,-0.001248377721049658
1800,1.87644,0.125276,0,1.88062,-0.000634357728324621
1801,1.84291,0.139056,0,1.84815,-0.0009950011019130309
1802,0.596174,0.136077,0,0.611506,0.002790541687298987
1803,0.25892,0.169315,0,0.309365,-0.0037837860728625627
1804,0.271588,0.155227,0,0.312819,-0.0016172996398556095
1805,1.33315,0.332176,0,1.37391,0.0011268480429765626
1806,0.978233,0.254423,0,1.01078,-0.0017240024472953439
1807,0.101648,0.0733609,0,0.125356,0.003050945517004339
1808,1.3101,0.127794,0,1.31631,-0.0009455054811621065
1809,1.85236,0.326397,0,1.8809,-0.0010421362540722315
1810,2.11108,0.242172,0,2.12492,-9.38412085452901e-05
1811,2.12271,0.207514,0,2.13283,0.00015362036429270333
1812,0.378896,0.11156,0,0.394978,-0.0008273086198597389
1813,1.55014,0.0841379,0,1.55242,0.0007970018273803746
1814,1.17538,0.349805,0,1.22633,0.002905636945098253
1815,1.18682,0.335408,0,1.2333,-0.0031062369456780195
1816,1.66043,0.017842,0,1.66052,0.002828172658825262
1817,0.805737,0.137649,0,0.81741,0.0011286018880127821
1818,0.813076,0.172766,0,0.831229,-0.0015566630636130961
1819,0.678523,0.247708,0,0.722325,0.003675289884566774
1820,1.22317,0.218772,0,1.24258,-0.001423668049073192
1821,0.507735,0.219433,0,0.553123,0.005822171780140926
1822,0.967018,0.0402624,0,0.967856,-0.0053622816563048325
1823,0.958669,0.0178658,0,0.958836,0.004009445875631801
1824,0.498437,0.41,0,0.645399,-0.005324549252517392
1825,1.14115,0.185887,0,1.15619,-0.002135790296852272
1826,0.902344,0.0160518,0,0.902487,-0.004270624096507409
1827,0.888133,0.0376033,0,0.888929,0.007911050218628935
1828,0.127547,0.356726,0,0.378843,0.0030737910902805914
1829,1.20558,0.235471,0,1.22836,0.0001449916266270078
1830,2.02245,0.292173,0,2.04344,0.00021795740667647934
1831,0.50797,0.24516,0,0.564036,-0.004837103940445109
1832,0.138644,0.370986,0,0.396046,-0.00011751555342147933
1833,0.915366,0.0498034,0,0.91672,-0.004745939330156044
1834,2.17971,0.33786,0,2.20573,1.2518196562874417e-05
1835,1.19344,0.301946,0,1.23104,-0.0007056026373628115
1836,0.531934,0.0907913,0,0.539627,0.000818093200633961
1837,0.510457,0.0638744,0,0.514438,-0.006998251118281541
1838,0.699983,0.1102,0,0.708605,0.001034349866558293
1839,2.01836,0.167146,0,2.02527,0.00023412527295599387
1840,0.402757,0.0923777,0,0.413215,-0.0035339547632918713
1841,0.377108,0.0763321,0,0.384756,0.005539747714221523
1842,0.637608,0.349489,0,0.727109,0.004948694114340071
1843,0.995739,0.142869,0,1.00594,-0.004644651201094305
1844,1.00387,0.12045,0,1.01107,-0.0008339531846808237
1845,1.18508,0.220568,0,1.20543,-0.0013000010914831514
1846,0.153616,0.246688,0,0.290608,-0.0017095110646245192
1847,1.78576,0.164787,0,1.79335,-0.0007421248936558178
1848,1.79921,0.190591,0,1.80928,-0.0003066928506130106
1849,1.80986,0.155149,0,1.8165,-0.0009316897907747842
1850,0.578831,0.258302,0,0.63385,0.0028082992588304894
1851,0.090432,0.177038,0,0.198797,0.0034471584536963926
1852,0.0773437,0.394165,0,0.401682,-0.00285957664707247
1853,0.476509,0.0179181,0,0.476845,0.0028746898786450228
1854,0.499701,0.0364158,0,0.501027,0.004016855821561447
1855,0.514925,0.026097,0,0.515586,0.00043628042450565355
1856,1.41263,0.0910962,0,1.41557,0.0020006275356737784
1857,1.40309,0.0548367,0,1.40416,-0.0009317920395287014
1858,1.42568,0.0780387,0,1.42781,0.0011200182773926876
1859,0.563806,0.242963,0,0.613929,0.0006813601675900845
1860,0.120312,0.41,0,0.427288,-0.002030711188584205
1861,1.90249,0.109103,0,1.90562,-0.00032108899210284115
1862,0.567852,0.358522,0,0.671561,-0.0076903295691545205
1863,0.533437,0.367887,0,0.647994,-0.0038717986622739723
1864,0.545955,0.339693,0,0.643007,-0.004873016526032616
